objectPrior,confidence,proximity,relativeSpeed,userSpeed,objectPersistence,trafficDensity,hazardFrequency,lowVisibility,weatherRisk,roadOrReports,riskLabel
0.0614,0.7214,0.0832,0.0601,0.1410,0.1664,0.0000,0.0589,0.0192,0.0719,0.0300,LOW
0.6942,0.8524,0.6722,0.4804,0.5853,0.7133,0.6254,0.5325,0.5471,0.4253,0.5892,HIGH
0.9676,0.9251,0.8491,0.7498,0.7871,0.9864,0.9141,0.8562,0.7597,0.6452,0.9188,CRITICAL
0.6952,0.8601,0.5607,0.5252,0.5885,0.7349,0.6139,0.5535,0.4901,0.4776,0.7117,HIGH
0.1210,0.7318,0.0000,0.0723,0.0000,0.0000,0.2100,0.0725,0.0447,0.0498,0.0388,LOW
0.9061,0.9574,0.8656,0.8355,0.7925,0.9800,0.8863,0.8588,0.8481,0.7810,0.8704,CRITICAL
0.0862,0.7253,0.0520,0.0503,0.1012,0.0327,0.0892,0.0081,0.0268,0.0705,0.1387,LOW
0.9596,0.9352,0.7914,0.8786,0.8492,0.9716,0.8709,0.7879,0.7056,0.6362,0.8375,CRITICAL
0.6782,0.8719,0.6453,0.5129,0.5502,0.6371,0.5725,0.5610,0.5681,0.4184,0.6269,HIGH
0.6015,0.9341,0.5639,0.5288,0.6111,0.6349,0.6840,0.4655,0.2681,0.4521,0.7458,HIGH
0.7111,0.8857,0.5558,0.5240,0.6417,0.6970,0.7125,0.5027,0.5100,0.4789,0.6006,HIGH
0.3833,0.8240,0.3844,0.2326,0.2620,0.2945,0.3106,0.1874,0.3823,0.2302,0.0997,MEDIUM
0.8716,1.0000,0.9800,0.8118,0.8196,0.9220,0.8494,0.7744,0.8169,0.6970,0.8640,CRITICAL
0.1059,0.7852,0.0505,0.0961,0.2051,0.1094,0.0333,0.0396,0.0760,0.0525,0.0792,LOW
0.9497,0.9861,0.8699,0.8553,0.8494,0.9151,0.9405,0.7762,0.7064,0.6506,0.8486,CRITICAL
0.1499,0.8174,0.0441,0.0610,0.1908,0.0705,0.0183,0.1268,0.1064,0.0357,0.1274,LOW
0.7911,0.8650,0.6131,0.4373,0.6459,0.7407,0.6661,0.5228,0.3864,0.4132,0.6913,HIGH
0.6530,0.8636,0.6883,0.5348,0.5062,0.7067,0.5213,0.6404,0.5485,0.3393,0.6424,HIGH
0.6544,0.8536,0.6913,0.5271,0.5010,0.8103,0.6379,0.5695,0.4679,0.4055,0.6928,HIGH
0.0000,0.6913,0.0320,0.0915,0.0709,0.0021,0.0810,0.0794,0.1068,0.0419,0.0230,LOW
0.6269,0.9006,0.6871,0.5199,0.5360,0.5725,0.5726,0.4918,0.5673,0.3794,0.6591,HIGH
0.9302,1.0000,0.8640,0.9247,0.7851,0.9248,0.8503,0.7854,0.6915,0.5749,0.9015,CRITICAL
0.0605,0.7991,0.1643,0.0236,0.1702,0.1351,0.0636,0.0503,0.0489,0.0494,0.0970,LOW
0.0500,0.7157,0.1243,0.0826,0.2357,0.0477,0.0696,0.0200,0.0118,0.0737,0.1050,LOW
0.9047,0.9617,0.9500,0.7722,0.8555,0.9741,0.7936,0.7478,0.7326,0.5975,0.8359,CRITICAL
0.3448,0.8365,0.4241,0.2432,0.2542,0.3686,0.3456,0.1978,0.1688,0.1607,0.1718,MEDIUM
0.2625,0.9036,0.4120,0.1864,0.4148,0.2358,0.2164,0.2991,0.1827,0.2087,0.1839,MEDIUM
0.8846,1.0000,0.9008,0.8679,0.7815,0.9974,0.8845,0.7431,0.7077,0.6645,0.9490,CRITICAL
0.2682,0.7310,0.2188,0.2738,0.1976,0.2124,0.2421,0.1476,0.2109,0.1361,0.2354,MEDIUM
0.0156,0.7449,0.0014,0.0504,0.1660,0.1854,0.0998,0.0671,0.0452,0.0315,0.0211,LOW
0.6852,0.8209,0.6456,0.4551,0.6111,0.7605,0.6751,0.6284,0.5664,0.3857,0.6791,HIGH
0.0186,0.7420,0.0792,0.0529,0.0230,0.1245,0.0693,0.1101,0.0070,0.0098,0.0882,LOW
0.9022,0.9572,0.8838,0.7711,0.8669,0.9083,0.9318,0.6849,0.6796,0.6472,0.8554,CRITICAL
0.4278,0.6757,0.3095,0.3714,0.3459,0.3211,0.1430,0.1529,0.1781,0.1088,0.3369,MEDIUM
0.1099,0.7358,0.0521,0.0120,0.0322,0.1445,0.0674,0.0558,0.1313,0.0720,0.0260,LOW
0.0350,0.7234,0.0000,0.0000,0.1610,0.2181,0.0213,0.0000,0.0715,0.0000,0.0564,LOW
0.0115,0.6940,0.0377,0.0455,0.1097,0.0316,0.0903,0.0756,0.0600,0.0471,0.1358,LOW
0.6812,0.9135,0.6427,0.5629,0.5553,0.6556,0.6941,0.6417,0.4674,0.3700,0.7055,HIGH
0.1056,0.7444,0.0073,0.0834,0.1682,0.0756,0.0731,0.0768,0.0338,0.0430,0.1072,LOW
0.6435,0.9465,0.5814,0.6271,0.6327,0.6604,0.6470,0.5258,0.5084,0.3702,0.6292,HIGH
0.3540,0.7290,0.3477,0.1312,0.3427,0.3845,0.3428,0.2671,0.0628,0.1482,0.3161,MEDIUM
0.6958,0.9818,0.8007,0.5548,0.6757,0.7593,0.5743,0.6517,0.4837,0.3971,0.7603,HIGH
0.1045,0.6037,0.1240,0.0821,0.2005,0.0845,0.0081,0.0000,0.1469,0.0311,0.0193,LOW
0.3804,0.6901,0.4125,0.4125,0.2506,0.2271,0.2092,0.1577,0.1972,0.1600,0.1956,MEDIUM
0.1265,0.6020,0.1021,0.0282,0.1238,0.0960,0.0219,0.0961,0.0961,0.0086,0.0095,LOW
0.2870,0.8172,0.4259,0.2664,0.4426,0.2828,0.3308,0.2282,0.1887,0.1309,0.2027,MEDIUM
0.8283,0.9385,0.9576,0.8519,0.8125,1.0000,0.8594,0.7829,0.7911,0.6849,0.9319,CRITICAL
0.6470,0.9225,0.6055,0.5561,0.6537,0.7688,0.7256,0.5282,0.4841,0.5108,0.4729,HIGH
0.7182,0.8889,0.5637,0.6009,0.4248,0.6700,0.6163,0.5218,0.3815,0.4698,0.5552,HIGH
0.8826,0.9095,0.8378,0.9032,0.9183,0.9109,0.8490,0.7970,0.6362,0.6324,0.8638,CRITICAL
0.8703,0.9963,0.8968,0.8155,0.8194,0.9606,0.8752,0.7199,0.7301,0.7097,0.8508,CRITICAL
0.5580,0.9117,0.7208,0.5823,0.5934,0.6516,0.7264,0.6265,0.4414,0.4307,0.5807,HIGH
0.3363,0.7411,0.2986,0.2976,0.3381,0.3325,0.2925,0.1976,0.2608,0.1774,0.2071,MEDIUM
0.9543,0.9010,0.8794,0.8295,0.7387,0.9362,1.0000,0.8304,0.6901,0.6449,0.8232,CRITICAL
0.6304,0.7705,0.5955,0.4814,0.5970,0.7107,0.5926,0.5804,0.4848,0.4630,0.6770,HIGH
0.0525,0.5493,0.0285,0.0000,0.0894,0.1316,0.1040,0.0520,0.0472,0.0436,0.0000,LOW
0.0361,0.8046,0.1760,0.0985,0.0834,0.0648,0.0502,0.0031,0.0353,0.0506,0.1117,LOW
0.9063,0.9985,0.8778,0.8307,0.8386,0.9735,0.9009,0.8463,0.6290,0.6087,0.9334,CRITICAL
0.6882,0.9777,0.7661,0.5728,0.4775,0.6670,0.6667,0.5181,0.2892,0.5256,0.6644,HIGH
0.1198,0.7756,0.0722,0.0435,0.0830,0.0787,0.0577,0.0056,0.0825,0.0000,0.0519,LOW
0.0889,0.7384,0.0259,0.0000,0.0755,0.0772,0.1332,0.0943,0.0000,0.0000,0.0821,LOW
0.5802,0.8485,0.6553,0.6492,0.6710,0.6565,0.7085,0.5900,0.4133,0.2825,0.6801,HIGH
0.3640,0.8121,0.3517,0.2044,0.3541,0.1562,0.4039,0.2216,0.1570,0.2232,0.2237,MEDIUM
0.5809,0.8511,0.7465,0.5021,0.5243,0.7413,0.6440,0.5801,0.4597,0.4463,0.5502,HIGH
0.5699,0.9123,0.6133,0.5899,0.7086,0.6335,0.6124,0.4633,0.4427,0.4043,0.5503,HIGH
0.0794,0.7765,0.0000,0.0458,0.1616,0.1297,0.0423,0.0000,0.0719,0.0000,0.0140,LOW
0.9029,0.9836,0.9018,0.7462,0.8575,0.9606,0.8187,0.8557,0.7612,0.6924,1.0000,CRITICAL
0.9761,0.9725,0.9229,0.8874,0.6930,0.9627,0.8940,0.8099,0.7887,0.6390,0.8801,CRITICAL
0.0296,0.8076,0.1290,0.0301,0.0279,0.0596,0.0640,0.0697,0.0464,0.0181,0.0768,LOW
0.8814,0.9267,0.8777,0.9412,0.8168,0.8807,0.9423,0.7966,0.7720,0.6791,0.8904,CRITICAL
0.6740,0.8986,0.5617,0.5107,0.5026,0.6216,0.5501,0.6132,0.6035,0.3708,0.5468,HIGH
0.0069,0.8454,0.0000,0.0373,0.1632,0.0964,0.1818,0.0958,0.0651,0.0874,0.1034,LOW
0.9167,0.9458,0.8761,0.8045,0.8115,0.8844,0.7914,0.7302,0.8487,0.6678,0.8346,CRITICAL
0.1152,0.7740,0.0426,0.0445,0.1236,0.0298,0.0426,0.0651,0.0347,0.0578,0.0000,LOW
0.9719,1.0000,0.8975,0.8391,0.8932,0.9203,0.9245,0.7678,0.6507,0.6677,0.9125,CRITICAL
0.9548,0.9375,0.9020,0.8043,0.7801,0.8674,0.8592,0.7946,0.7181,0.6082,0.7838,CRITICAL
0.6117,0.8592,0.6619,0.5699,0.5361,0.6716,0.6789,0.4832,0.4423,0.4828,0.5715,HIGH
0.0387,0.7224,0.0179,0.0843,0.1865,0.1114,0.0000,0.0508,0.0781,0.0571,0.0891,LOW
0.6858,0.8275,0.5910,0.5283,0.5839,0.6426,0.7969,0.5896,0.3373,0.4972,0.5072,HIGH
0.9291,0.9185,0.8775,0.7686,0.8827,0.8873,0.8652,0.8854,0.7906,0.6350,0.8969,CRITICAL
0.0640,0.7228,0.1041,0.1118,0.1379,0.1535,0.0434,0.1126,0.0650,0.0205,0.0002,LOW
0.3734,0.7718,0.3936,0.3781,0.3624,0.2860,0.2383,0.1692,0.2526,0.1910,0.2208,MEDIUM
0.2907,0.8360,0.2109,0.2674,0.4534,0.4063,0.2738,0.2543,0.0724,0.1058,0.2083,MEDIUM
0.2325,0.7707,0.4093,0.2425,0.1821,0.2181,0.1529,0.2152,0.2243,0.2211,0.1734,MEDIUM
0.3498,0.7997,0.4082,0.3042,0.3086,0.3182,0.4185,0.2451,0.1863,0.2057,0.3148,MEDIUM
0.8825,0.8593,0.9738,0.8002,0.7713,0.9124,0.8556,0.7961,0.6645,0.6062,0.9653,CRITICAL
0.9649,0.9490,0.9341,0.7793,0.7922,0.9565,0.8321,0.7917,0.6781,0.6996,0.8335,CRITICAL
0.9557,0.9766,0.9112,0.7722,0.8370,0.9119,0.8553,0.8124,0.7694,0.7370,0.8182,CRITICAL
0.2637,0.7489,0.2418,0.2103,0.3244,0.3005,0.2662,0.2884,0.1681,0.1575,0.2169,MEDIUM
0.9553,0.9606,0.9585,0.8899,0.8029,0.9829,0.8655,0.8208,0.7319,0.6014,0.8579,CRITICAL
0.0166,0.7067,0.0000,0.0655,0.1188,0.1188,0.0497,0.0294,0.0679,0.0246,0.0000,LOW
0.0667,0.7119,0.0089,0.0051,0.1976,0.0000,0.0112,0.1086,0.0728,0.0354,0.0963,LOW
0.9376,1.0000,0.8325,0.8338,0.8668,0.8749,0.8270,0.8153,0.7240,0.7065,0.7996,CRITICAL
0.9032,0.9158,0.9117,0.7974,0.7760,0.9559,1.0000,0.7944,0.8440,0.7195,0.9332,CRITICAL
0.0258,0.7989,0.0000,0.1324,0.0621,0.0186,0.0716,0.0585,0.0511,0.0160,0.0740,LOW
0.0407,0.7553,0.0840,0.1013,0.0000,0.0238,0.1079,0.0398,0.1051,0.0017,0.0147,LOW
0.6390,0.8499,0.6440,0.7268,0.5942,0.7146,0.6356,0.5555,0.4955,0.5009,0.6124,HIGH
0.4166,0.9285,0.3279,0.2628,0.3539,0.2595,0.3389,0.2007,0.2287,0.1972,0.3694,MEDIUM
0.3173,0.7817,0.4151,0.2884,0.2475,0.3967,0.1872,0.1867,0.2345,0.1110,0.2203,MEDIUM
0.4864,0.7087,0.3761,0.1636,0.3072,0.2935,0.3873,0.1919,0.1473,0.1050,0.2033,MEDIUM
0.7747,0.7931,0.5499,0.6113,0.5622,0.7092,0.6484,0.5162,0.4477,0.2800,0.6956,HIGH
0.8391,0.9744,0.9702,0.8027,0.8888,0.9956,0.8342,0.7848,0.5940,0.6921,0.9022,CRITICAL
0.0691,0.8915,0.0708,0.0266,0.0780,0.1542,0.0793,0.0360,0.0932,0.0509,0.0829,LOW
0.0319,0.6357,0.0672,0.0223,0.1053,0.1170,0.1077,0.0535,0.1414,0.0000,0.0477,LOW
0.0350,0.7566,0.0951,0.0711,0.1370,0.0094,0.0956,0.0939,0.0434,0.0317,0.0230,LOW
0.6323,0.8229,0.6415,0.5595,0.5216,0.6366,0.6580,0.5632,0.4680,0.5484,0.6596,HIGH
0.9907,0.9420,0.9535,0.7744,0.8712,0.9316,0.8804,0.6762,0.7446,0.6906,0.8424,CRITICAL
0.9229,0.9959,0.9180,0.8795,0.7217,0.9498,0.8794,0.8857,0.7084,0.6314,0.8761,CRITICAL
0.6410,0.8929,0.5671,0.6623,0.5762,0.6859,0.5823,0.5706,0.3407,0.4743,0.6358,HIGH
0.0766,0.8473,0.2242,0.0774,0.1793,0.0401,0.0784,0.0861,0.0411,0.0368,0.0899,LOW
0.0586,0.7152,0.1633,0.0364,0.2000,0.0480,0.1661,0.0000,0.0767,0.0294,0.1215,LOW
0.4781,0.7190,0.2863,0.2816,0.2707,0.3366,0.3365,0.2973,0.2917,0.1927,0.2755,MEDIUM
0.9154,0.9654,0.8867,0.8013,0.9262,0.9055,0.8501,0.8664,0.7803,0.6475,0.8438,CRITICAL
0.6704,0.9302,0.6806,0.5776,0.6105,0.6152,0.4825,0.6789,0.4924,0.3809,0.5978,HIGH
0.2301,0.9294,0.3234,0.4003,0.4342,0.2871,0.2399,0.2271,0.2595,0.1488,0.2135,MEDIUM
0.3240,0.7779,0.3232,0.1285,0.3513,0.3831,0.3121,0.2147,0.2721,0.1982,0.2756,MEDIUM
0.3140,0.8593,0.3720,0.3659,0.3984,0.2061,0.2716,0.3117,0.0787,0.1681,0.2482,MEDIUM
0.5220,0.8054,0.3100,0.1930,0.2168,0.3072,0.2984,0.1039,0.2108,0.0766,0.1757,MEDIUM
0.4295,0.9028,0.2134,0.2422,0.3448,0.2341,0.3736,0.2581,0.2655,0.1574,0.2858,MEDIUM
0.3997,0.8583,0.4141,0.3494,0.4303,0.2166,0.2712,0.3682,0.2876,0.1935,0.2304,MEDIUM
0.0344,0.8730,0.0480,0.0494,0.0533,0.0344,0.0923,0.0736,0.0527,0.0859,0.0022,LOW
0.7610,0.9378,0.6520,0.5243,0.5196,0.7149,0.5959,0.5133,0.4991,0.4247,0.5503,HIGH
0.6970,0.8505,0.5716,0.6298,0.6278,0.6335,0.6774,0.5083,0.5774,0.3883,0.6858,HIGH
0.0476,0.8546,0.0218,0.0239,0.0022,0.0392,0.1326,0.0737,0.0720,0.0682,0.0326,LOW
0.0649,0.7324,0.1198,0.0281,0.0483,0.1038,0.0000,0.0885,0.1033,0.0286,0.0572,LOW
0.5958,0.8217,0.6181,0.5754,0.5598,0.6046,0.5717,0.6351,0.3742,0.4896,0.5695,HIGH
0.0420,0.6432,0.0119,0.0452,0.1260,0.1070,0.0733,0.0834,0.1037,0.0417,0.0289,LOW
0.8647,0.9158,0.8113,0.7409,0.7998,0.9627,0.8713,0.8973,0.8651,0.6126,0.8656,CRITICAL
0.8969,1.0000,0.8943,0.8374,0.8230,1.0000,0.8029,0.8720,0.7969,0.5755,0.8648,CRITICAL
0.6638,0.8688,0.6661,0.6640,0.4990,0.6668,0.6579,0.5207,0.4624,0.4574,0.6140,HIGH
0.6057,0.8477,0.6056,0.5448,0.6240,0.6481,0.6144,0.5530,0.6077,0.3964,0.7267,HIGH
0.8670,1.0000,0.9283,0.7888,0.8695,0.8927,0.8952,0.8610,0.7714,0.7255,0.8665,CRITICAL
0.9035,0.9610,0.9686,0.8094,0.9158,0.8111,0.8713,0.8314,0.7097,0.6790,0.8067,CRITICAL
0.5735,0.7774,0.5899,0.5429,0.4799,0.7643,0.6413,0.5742,0.5442,0.3774,0.6443,HIGH
0.9630,1.0000,0.9475,0.8862,0.8256,0.9102,0.7992,0.7481,0.7457,0.7162,0.7889,CRITICAL
0.3762,0.8282,0.3200,0.2889,0.3671,0.3046,0.1393,0.3116,0.2315,0.2562,0.1208,MEDIUM
0.9172,0.9384,0.9357,0.8143,0.8910,0.9165,0.9328,0.8678,0.6892,0.7628,0.7619,CRITICAL
0.3443,0.8998,0.2273,0.2872,0.2533,0.2947,0.1998,0.1209,0.1497,0.1684,0.2370,MEDIUM
0.3199,0.8249,0.3400,0.3649,0.3283,0.3599,0.4336,0.3303,0.3623,0.1926,0.2094,MEDIUM
0.1308,0.8075,0.0234,0.0400,0.1701,0.1170,0.0000,0.0300,0.0448,0.0481,0.0269,LOW
0.4144,0.7944,0.4691,0.3274,0.1783,0.3850,0.1702,0.2350,0.2674,0.1057,0.1730,MEDIUM
0.9213,0.9887,0.8464,0.8011,0.7906,0.8763,0.9172,0.8042,0.7344,0.6632,0.9625,CRITICAL
0.0464,0.7846,0.1350,0.0109,0.1644,0.1055,0.1008,0.0423,0.0730,0.0626,0.0376,LOW
0.5354,0.6970,0.3053,0.3159,0.4770,0.1678,0.3486,0.1973,0.2702,0.1433,0.3140,MEDIUM
0.9490,1.0000,0.9450,0.8300,0.7459,0.9363,0.9541,0.7960,0.7485,0.7323,0.8610,CRITICAL
0.5494,0.7297,0.2838,0.2943,0.4432,0.1829,0.2609,0.2977,0.2498,0.1168,0.2895,MEDIUM
0.0643,0.6960,0.1273,0.0000,0.1665,0.0637,0.0209,0.1057,0.0469,0.0640,0.0549,LOW
0.9406,0.9559,0.9778,0.8368,0.7642,0.9057,0.8042,0.7000,0.7318,0.6007,0.8811,CRITICAL
0.0702,0.7691,0.0564,0.0530,0.0194,0.1698,0.0349,0.0369,0.0000,0.0097,0.0024,LOW
0.9151,0.9499,0.9522,0.7891,0.8858,0.9231,0.9047,0.7475,0.5963,0.6601,0.9247,CRITICAL
0.0117,0.7460,0.1560,0.0450,0.0678,0.1022,0.0000,0.0925,0.0843,0.0710,0.0392,LOW
0.4965,0.9116,0.5841,0.5791,0.5816,0.6677,0.5592,0.4434,0.4643,0.4475,0.6500,HIGH
0.9481,0.9460,0.9567,0.8235,0.8072,0.9063,0.8769,0.7778,0.7037,0.5911,0.8406,CRITICAL
0.0412,0.7401,0.0348,0.0140,0.1093,0.2354,0.0680,0.1086,0.1150,0.0377,0.0000,LOW
0.6936,0.8705,0.5409,0.5635,0.6381,0.6194,0.5513,0.4730,0.5052,0.3932,0.4542,HIGH
0.9418,0.9454,0.9008,0.8711,0.8593,0.8642,0.8098,0.8401,0.7811,0.6711,0.9649,CRITICAL
0.0000,0.7499,0.0823,0.0491,0.0998,0.0151,0.1148,0.0416,0.0000,0.0439,0.0339,LOW
0.8981,0.9561,0.9425,0.7872,0.9124,0.9042,0.8412,0.8427,0.7929,0.7172,0.8790,CRITICAL
0.0208,0.7102,0.0208,0.0927,0.1735,0.0563,0.1371,0.0818,0.0764,0.0666,0.0283,LOW
0.9405,0.9852,0.9306,0.8514,0.7824,0.9252,0.8413,0.6660,0.7661,0.5217,0.9191,CRITICAL
0.3623,0.7379,0.3447,0.2626,0.3498,0.3809,0.3031,0.1885,0.1841,0.0923,0.3516,MEDIUM
0.8935,0.9754,0.8371,0.8888,0.8099,0.9707,0.8564,0.8644,0.5731,0.7334,0.7839,CRITICAL
0.1004,0.6142,0.0213,0.0469,0.2669,0.0161,0.0138,0.0204,0.0110,0.0000,0.0708,LOW
0.9242,1.0000,0.8809,0.7176,0.8153,0.9945,0.9778,0.7658,0.6942,0.5980,0.7887,CRITICAL
0.2281,0.8193,0.3672,0.3039,0.3319,0.3167,0.2455,0.3125,0.2347,0.1841,0.2848,MEDIUM
0.6247,0.8694,0.6842,0.5719,0.5304,0.6832,0.7150,0.5532,0.4830,0.4119,0.5431,HIGH
0.6811,0.8692,0.5761,0.4879,0.5635,0.6475,0.7304,0.5642,0.4512,0.3116,0.6914,HIGH
0.7210,0.9128,0.6965,0.5311,0.5643,0.7068,0.5800,0.6521,0.5335,0.3830,0.5926,HIGH
0.3662,0.8212,0.3300,0.2838,0.2782,0.1817,0.3575,0.2666,0.1688,0.1650,0.2886,MEDIUM
0.0768,0.6601,0.0000,0.0494,0.0366,0.0888,0.1131,0.1015,0.0693,0.0228,0.0173,LOW
0.3003,0.7953,0.2351,0.2593,0.3675,0.1776,0.3448,0.2527,0.2425,0.1381,0.3075,MEDIUM
0.9558,0.9773,0.9498,0.8898,0.8960,0.8987,0.7784,0.8911,0.6485,0.7371,0.8289,CRITICAL
0.5908,0.8250,0.6417,0.4893,0.5354,0.6419,0.6846,0.5776,0.4665,0.4507,0.6561,HIGH
